,Region,rooms,Area,Price,Year,elevator,status,plot,price_per_area,region_value
613,Kaukovainio,5,102.0,168000,1969,yes,good,rent,1647.0588235294117,1336.6360477158462
614,Kaukovainio,4,92.0,105000,1969,yes,good,rent,1141.304347826087,1336.6360477158462
615,Välivainio,4,93.5,130000,1965,no,good,rent,1390.374331550802,2304.8410477167176
616,Heinäpää,4,83.0,169000,1965,yes,good,own,2036.144578313253,2230.320550345751
617,Heinäpää,4,92.5,176000,1984,yes,good,own,1902.7027027027027,2230.320550345751
618,Keskusta,4,89.0,180000,1960,yes,fair,own,2022.4719101123596,3179.3227764073595
619,Metsokangas,4,78.0,175000,2016,no,good,rent,2243.5897435897436,2906.7292824145966
620,Kastelli,4,88.0,170000,1988,no,good,own,1931.8181818181818,2064.474888903776
621,Hiukkavaara,4,87.0,101000,1965,no,fair,own,1160.9195402298851,1561.702653979614
622,Keskusta,4,96.0,229000,1953,no,good,own,2385.4166666666665,3179.3227764073595
623,Keskusta,4,102.0,221000,1960,yes,good,own,2166.6666666666665,3179.3227764073595
624,Tuira,4,95.0,200000,1968,no,good,rent,2105.2631578947367,2556.6371812766356
625,Keskusta,3,117.0,210000,1962,yes,good,own,1794.871794871795,3179.3227764073595
626,Kaukovainio,4,92.0,92000,1973,no,fair,rent,1000.0,1336.6360477158462
627,Kaukovainio,4,94.0,98000,1971,yes,fair,rent,1042.5531914893618,1336.6360477158462
628,Toppilansaari,4,97.0,258000,2007,yes,good,rent,2659.7938144329896,3413.741987454625
629,Alppila,4,96.0,254550,2008,yes,good,rent,2651.5625,2675.1023673012123
630,Tuira,5,113.0,255000,1978,yes,good,rent,2256.637168141593,2556.6371812766356
631,Toivoniemi,5,127.0,395000,1957,yes,good,own,3110.236220472441,2829.7603129797453
632,Tuira,4,81.0,119500,1961,yes,good,rent,1475.3086419753085,2556.6371812766356
633,Limingantulli,5,118.0,405000,2012,yes,good,own,3432.2033898305085,3483.5066416634213
634,Intiö,4,86.0,177000,1958,yes,good,own,2058.139534883721,2198.111382272284
635,Kaukovainio,4,84.0,100000,1970,no,good,rent,1190.4761904761904,1336.6360477158462
636,Kaukovainio,5,109.0,125000,1972,yes,good,rent,1146.788990825688,1336.6360477158462
637,Koskela,4,90.0,89000,1972,yes,good,rent,988.8888888888889,1076.4021129400965
638,Keskusta,4,110.0,140000,1957,yes,fair,own,1272.7272727272727,3179.3227764073595
